Season Number,Original Air Date,Startup Name,Industry,Business Description,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Invested Guest Name,All Guest Names,Number of Presenters,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Pitchers State
4,2025-02-17,NearBook,Children/Education,A used books marketplace,40.0,20.0,200.0,1,1.0,40.0,20.0,,Kunal Bahl,1,1.0,0.0,Young,Sanchore,Rajasthan
4,2025-02-17,Memotag,Medical/Health,IoT wearable for monitoring cognitive and physical health,50.0,5.0,1000.0,0,,,,,Kunal Bahl,1,1.0,0.0,Young,Delhi,Delhi
4,2025-02-17,Klimate,Beauty/Fashion,Climate impact solutions cooling vests,54.0,3.0,1800.0,0,,,,,Kunal Bahl,3,3.0,0.0,Young,"Bangalore,Gular","Karnataka,Assam,Jharkhand"
4,2025-02-18,HealthFab,Medical/Health,Leakproof period panties,100.0,3.0,3333.333333,1,1.0,200.0,7.0,,,3,3.0,0.0,Middle,,Assam
4,2025-02-18,PieMatrix,Others,Premium telescopes and binoculars,100.0,3.0,3333.333333,1,0.0,,,,,2,2.0,0.0,Young,Delhi,Delhi
4,2025-02-18,Sudathi,Beauty/Fashion,Elegant sarees kurtas,100.0,1.0,10000.0,1,1.0,100.0,4.0,,,3,3.0,0.0,Middle,Surat,Gujarat
4,2025-02-19,Moderate,Medical/Health,Calorie-burning tablets,50.0,1.25,4000.0,1,1.0,100.0,5.0,Kunal Bahl,Kunal Bahl,3,2.0,1.0,Middle,Hyderabad,Telangana
4,2025-02-19,HireForCare,Medical/Health,Digital nanny-hiring platform,36.0,3.0,1200.0,1,1.0,36.0,5.0,Kunal Bahl,Kunal Bahl,2,2.0,0.0,Middle,"Ghaziabad,Jaipur","Uttar Pradesh,Rajasthan"
4,2025-02-19,DreamSmile,Medical/Health,Advanced affordable dental solutions veneers,80.0,6.0,1333.333333,0,,,,,Kunal Bahl,2,2.0,0.0,Middle,Mumbai,Maharashtra
4,2025-02-20,Madmix,Food and Beverage,Healthy snacks,50.0,1.0,5000.0,1,1.0,50.0,5.0,,Kunal Bahl,1,1.0,0.0,Middle,Mumbai,Maharashtra
4,2025-02-20,Palmonas,Beauty/Fashion,Demi-fine jewellery,126.0,1.0,12600.0,1,1.0,126.0,1.0,,Kunal Bahl,2,1.0,1.0,Middle,Pune,Maharashtra
4,2025-02-20,MKPowerAndMobility,Vehicles/Electrical Vehicles,e-mobility solutions Electric Vehicles for transport and passengers,350.0,5.0,7000.0,0,,,,,Kunal Bahl,2,2.0,0.0,Old,Pune,Maharashtra
4,2025-02-21,Nidhi'sGrandmaaSecret,Beauty/Fashion,Natural hair oil Ayurvedic,70.0,2.0,3500.0,1,1.0,70.0,5.0,,Kunal Bahl,3,1.0,2.0,Middle,Gurugram,Haryana
4,2025-02-21,Solnce,Manufacturing,Solar equipment services,100.0,1.5,6666.666667,1,1.0,100.0,2.5,,Kunal Bahl,2,2.0,0.0,Middle,Surat,Gujarat
4,2025-02-21,BornGood,Lifestyle/Home,Plant-based home cleaners fabric Laundry Detergen,70.0,1.0,7000.0,0,,,,,Kunal Bahl,1,1.0,0.0,Middle,Bangalore,Karnataka
4,2025-02-24,DorabiAndAmili,Beauty/Fashion,Online sustainable clothing brand,75.0,3.0,2500.0,1,1.0,100.0,4.0,,Kunal Bahl,3,1.0,2.0,Middle,Gurugram,Haryana
4,2025-02-24,ZebraLearn,Children/Education,Modern book platform,100.0,0.8,12500.0,1,1.0,100.0,1.6,,Kunal Bahl,2,1.0,1.0,Middle,Surat,Gujarat
4,2025-02-24,ExclusiveLane,Lifestyle/Home,Unique hand-painted handloom products,50.0,1.0,5000.0,0,,,,,Kunal Bahl,2,2.0,0.0,Middle,Gurugram,Haryana
4,2025-02-25,Medial,Technology/Software,Indian startup news and tech,50.0,1.0,5000.0,1,1.0,50.0,2.5,,Kunal Bahl,4,4.0,0.0,Young,Bangalore,Karnataka
4,2025-02-25,PanchalDairy,Food and Beverage,Artisanal and pastoral cheese,20.0,10.0,200.0,0,,,,,Kunal Bahl,2,2.0,0.0,Middle,Surendranagar,Gujarat
4,2025-02-25,MusicPandit,Children/Education,Music classes for kids,50.0,1.0,5000.0,0,,,,,Kunal Bahl,1,0.0,1.0,Middle,Kochi,Kerala
4,2025-02-26,Cograd,Children/Education,Innovative and affordable education teaching,100.0,2.0,5000.0,1,1.0,50.0,6.0,,Kunal Bahl,2,2.0,0.0,Middle,Etawah,Uttar Pradesh
4,2025-02-26,EatBetterCo,Food and Beverage,Healthy delicious snacks,50.0,0.5,10000.0,1,1.0,50.0,0.5,,Kunal Bahl,3,1.0,2.0,Middle,Jaipur,Rajasthan
4,2025-02-26,Earthful,Medical/Health,Health-boosting supplements,75.0,1.0,7500.0,1,1.0,75.0,2.5,,Kunal Bahl,2,0.0,2.0,Middle,Hyderabad,Telangana
4,2025-02-27,Trajectory,Vehicles/Electrical Vehicles,"Car seat pillows, backrests, and lumbar support",100.0,2.0,5000.0,1,1.0,50.0,3.0,,,2,2.0,0.0,Middle,Delhi,Delhi
4,2025-02-27,KaviThePoetry-ArtProject,Green/CleanTech,"Upcycled products eco-conscious glassware Raise, reuse, recycle with class Hand made",60.0,1.5,4000.0,0,,,,,,2,1.0,1.0,Middle,,
4,2025-02-27,F2DF,Agriculture,e-commerce platform for farmers,50.0,1.0,5000.0,1,1.0,5.0,2.0,,,4,3.0,1.0,Middle,Jind,Haryana
4,2025-02-28,SugarStrings.ai,Medical/Health,Multiomic platform for managing chronic genetic DNA conditions,100.0,2.5,4000.0,0,,,,,"Kunal Bahl,Azhar Iqubal",3,3.0,0.0,Middle,"Kalady, Vuyyuru","Kerala,Andhra Pradesh"
4,2025-02-28,MomsHome,Children/Education,Sustainable baby essentials,75.0,1.0,7500.0,1,1.0,75.0,2.0,,"Kunal Bahl,Azhar Iqubal",2,2.0,0.0,Middle,Jaipur,Rajasthan
4,2025-02-28,Catwalk,Food and Beverage,Non-alcoholic spirits,100.0,4.16,2403.846154,0,,,,,"Kunal Bahl,Azhar Iqubal",2,2.0,0.0,Middle,Delhi,Delhi
4,2025-03-03,Beautywise,Beauty/Fashion,Science-backed supplements for skin and hair,100.0,1.5,6666.666667,1,1.0,300.0,6.0,,Kunal Bahl,2,1.0,1.0,Middle,Delhi,Delhi
4,2025-03-03,Ivory,Medical/Health,Neuroscience-based gaming app,50.0,1.25,4000.0,1,1.0,50.0,5.0,,Kunal Bahl,2,2.0,0.0,Middle,Bangalore,Karnataka
4,2025-03-03,TheHousePartyBySavar,Business Services,Luxury culinary catering service,100.0,5.0,2000.0,1,1.0,50.0,5.0,,Kunal Bahl,2,1.0,1.0,Middle,Gurugram,Haryana
4,2025-03-04,GlowGlossary,Food and Beverage,Ceremonial-grade matcha Matcha Kit,60.0,4.0,1500.0,0,,,,,Kunal Bahl,2,0.0,2.0,Middle,"Bangalore,Ghaziabad","Karnataka,Uttar Pradesh"
4,2025-03-04,SinghDentalCare,Medical/Health,Comprehensive dental care by specialist,100.0,5.0,2000.0,0,,,,,Kunal Bahl,1,1.0,0.0,Middle,Amritsar,Punjab
4,2025-03-04,TribalVeda,Food and Beverage,Premium jamun products superfoods made by tribal,50.0,2.0,2500.0,1,1.0,50.0,2.8,,Kunal Bahl,2,1.0,1.0,Middle,Udaipur,Rajasthan
4,2025-03-05,Anuvad,Beauty/Fashion,E-textile fashion Humansing,50.0,5.0,1000.0,0,,,,,Kunal Bahl,1,0.0,1.0,Middle,Ahmedabad,Gujarat
4,2025-03-05,Fitelo,Fitness/Sports/Outdoors,Holistic health and weight management,150.0,0.5,30000.0,1,1.0,150.0,1.0,,Kunal Bahl,2,2.0,0.0,Middle,Mohali,Punjab
4,2025-03-05,Nanighar,Food and Beverage,Homemade delicacies Dishes,100.0,5.0,2000.0,0,,,,,Kunal Bahl,2,1.0,1.0,Middle,Kolkata,West Bengal
4,2025-03-06,GoodMonk,Fitness/Sports/Outdoors,"Multivitamins, probiotics, and fiber mix Lysine, Ashwagandha & Brahmi",100.0,1.67,5988.023952,1,1.0,50.0,1.0,,"Kunal Bahl,Azhar Iqubal",2,1.0,1.0,Middle,Bangalore,Karnataka
4,2025-03-06,Artbuzz,Business Services,Creative co-living and coworking spaces,100.0,3.0,3333.333333,0,,,,,"Kunal Bahl,Azhar Iqubal",2,1.0,1.0,Middle,Delhi,Delhi
4,2025-03-06,Tulua,Food and Beverage,"Pure, unadulterated spices",50.0,2.0,2500.0,0,,,,,"Kunal Bahl,Azhar Iqubal",2,1.0,1.0,Middle,Mumbai,Maharashtra
4,2025-03-07,Taffykids,Children/Education,Playful kidswear for every occasion,75.0,1.0,7500.0,1,1.0,75.0,1.5,,Kunal Bahl,3,1.0,2.0,Middle,Mumbai,Maharashtra
4,2025-03-07,WhaleWearables,Lifestyle/Home,Groundbreaking women's safety wearable solutions,30.0,3.0,1000.0,1,1.0,30.0,3.0,,Kunal Bahl,2,1.0,1.0,Young,Belagavi,Karnataka
4,2025-03-07,Zingavita,Medical/Health,High-quality modern Ayurvedic supplements shilajit,100.0,1.25,8000.0,0,,,,,Kunal Bahl,2,2.0,0.0,Middle,Chandigarh,Punjab
4,2025-03-07,DhaagaLife,Beauty/Fashion,Accessories Handbags,75.0,5.0,1500.0,0,,,,,Kunal Bahl,3,0.0,3.0,Middle,Mumbai,Maharashtra
4,2025-03-10,Tileskraft,Lifestyle/Home,Wide range of tiles,60.0,12.0,500.0,0,,,,,Kunal Bahl,1,0.0,1.0,Young,Borbi,Gujarat
4,2025-03-10,Krishnsakhi,Lifestyle/Home,Handcrafted jewelry for Gods,37.5,2.5,1500.0,0,,,,,Kunal Bahl,2,1.0,1.0,Old,Mumbai,Maharashtra
4,2025-03-10,BoreCharger,Agriculture,Sustainable water bore solutions,75.0,1.5,5000.0,1,0.0,,,,Kunal Bahl,2,2.0,0.0,Middle,Pune,Maharashtra
4,2025-03-11,SuperBolter,Lifestyle/Home,Three-dimensional home designs,75.0,0.5,15000.0,0,,,,,Kunal Bahl,1,1.0,0.0,Middle,Bangalore,Karnataka
4,2025-03-11,HiveSchool,Children/Education,Sales school college,60.0,5.0,1200.0,0,,,,,Kunal Bahl,3,3.0,0.0,Young,"Delhi,Indore","Delhi,Madhya Pradesh"
4,2025-03-11,Tintbox,Lifestyle/Home,Borosilicate glass bottles and lunch boxes,70.0,5.0,1400.0,0,,,,,Kunal Bahl,2,1.0,1.0,Middle,Ahmedabad,Gujarat
4,2025-03-12,EasyRugs,Lifestyle/Home,"Sustainable, low-maintenance rugs",35.0,5.0,700.0,1,1.0,35.0,5.0,,,2,1.0,1.0,Middle,Delhi,Delhi
4,2025-03-12,StylesTry,Beauty/Fashion,Stylish women's footwear,50.0,1.0,5000.0,0,,,,,,2,2.0,0.0,Young,Delhi,Delhi
4,2025-03-12,Quitci,Lifestyle/Home,"Innovative anti-smoking device Smoke-Free, Nicotine-Free",50.0,2.0,2500.0,0,,,,,,2,2.0,0.0,Middle,Kolar,Karnataka
4,2025-03-13,FitFeast,Food and Beverage,Protein-packed foods Protein Snacks,100.0,6.5,1538.461538,1,1.0,100.0,18.0,Viraj Bahl,"Kunal Bahl,Viraj Bahl",1,1.0,0.0,Young,Delhi,Delhi
4,2025-03-13,TheBearHouse,Beauty/Fashion,Stylish and affordable menswear,300.0,1.0,30000.0,1,1.0,100.0,1.0,,"Kunal Bahl,Viraj Bahl",2,1.0,1.0,Middle,Bangalore,Karnataka
4,2025-03-13,UrbanAnimal,Animal/Pets,Dog DNA tests,45.0,5.0,900.0,0,,,,,"Kunal Bahl,Viraj Bahl",2,2.0,0.0,Young,Bangalore,Karnataka
4,2025-03-14,Nooky,Lifestyle/Home,Aphrodisiac Mood Uplifting chocolates,60.0,1.0,6000.0,0,,,,,Varun Dua,2,1.0,1.0,Middle,Delhi,Delhi
4,2025-03-14,Subculture,Beauty/Fashion,Fetish leather Fashion,50.0,7.0,714.2857143,0,,,,,Kunal Bahl,1,1.0,0.0,Young,Ara,Bihar
4,2025-03-14,Woodsmen,Liquor/Alcohol,Himalayan whiskey,150.0,0.5,30000.0,0,,,,,"Kunal Bahl,Azhar Iqubal",1,1.0,0.0,Middle,Delhi,Delhi
4,2025-03-17,BhavisyaPlast,Green/CleanTech,Affordable RBG's bioplastics,50.0,1.5,3333.333333,1,1.0,200.0,10.0,Chirag Nakrani,Chirag Nakrani,1,0.0,1.0,Young,Kolkata,West Bengal
4,2025-03-17,Ecoil,Green/CleanTech,Food oil recycling,100.0,1.25,8000.0,1,1.0,50.0,1.0,Chirag Nakrani,Chirag Nakrani,2,1.0,1.0,Middle,Jaipur,Rajasthan
4,2025-03-17,Rescript,Green/CleanTech,Sustainable stationery Recycled Paper Products,100.0,3.33,3003.003003,0,,,,,Chirag Nakrani,2,2.0,0.0,Middle,Bangalore,Karnataka
4,2025-03-18,TickleYourArt,Others,Art by artists with Down syndrome,21.3,7.0,304.2857143,1,1.0,21.3,7.0,,"Srikanth Bolla,Chirag Nakrani",3,0.0,3.0,Young,Pune,Maharashtra
4,2025-03-18,Symbionic,Medical/Health,Advanced prosthetic arms easy-to-use prosthetics,80.0,2.0,4000.0,1,1.0,40.0,1.0,,"Srikanth Bolla,Chirag Nakrani",2,2.0,0.0,Middle,Chennai,Tamil Nadu
4,2025-03-18,XLCinema,Entertainment,Audio content platform for the visually impaired Automatic Content Augmentation Services,150.0,1.5,10000.0,0,,,,,"Srikanth Bolla,Chirag Nakrani",2,1.0,1.0,Middle,Delhi,Delhi
